Intersection_1,Intersection_2,Correlation
9873.0,15927.0,0.8165987383337929
17719.0,16984.0,0.8165987383337929
10027.0,1732.0,0.8165987383337929
15238.0,13322.0,0.7100927487246298
4479.0,1670.0,0.694903411771073
1216.0,408.0,0.6841959911277026
13837.0,7205.0,0.6403483478273809
129.0,1378.0,0.6365681591851631
12625.0,1771.0,0.6135791901466674
17462.0,17675.0,0.6043949070889074
17462.0,17674.0,0.6043949070889074
17675.0,17674.0,0.6043949070889073
129.0,79.0,0.5982202847769358
1489.0,1588.0,0.5979177412244804
13322.0,15239.0,0.5907522414093426
9684.0,1768.0,0.5884203945402671
1497.0,1330.0,0.569239180402828
9185.0,9183.0,0.5667535465074066
79.0,941.0,0.558920297744188
1337.0,1328.0,0.5561386845941444
16878.0,14677.0,0.5541494429272885
8855.0,8844.0,0.552219301902885
1642.0,1641.0,0.5510331641495743
10045.0,9146.0,0.5475268611039409
1751.0,8833.0,0.5459629048052995
1228.0,321.0,0.5437481446794398
17249.0,17000.0,0.5410225188991195
214.0,1811.0,0.5383382619868726
1723.0,10596.0,0.5356307153517785
1320.0,1319.0,0.5104384348866168
